,geometry,power,operator,operator:wikidata,ref,start_date,substation,name,operator:wikipedia,ref:terna,voltage,building,man_made,material,source,building:use,layer,location,substance,alt_name,landuse,plant:method,plant:output:electricity,plant:source,ref:EU:ENTSOE_EIC,wikidata,wikipedia,generator:source,addr:city,addr:housenumber,addr:postcode,addr:street,plant:type,website,name:en,since,utility,city,pipeline,valve,bridge,bridge:structure,direction,industrial,building:levels,building:material,roof:material,roof:shape,generator:method,generator:type,arpav_codice_bacino,arpav_codice_sottobacino,waterway
0,POINT (12.2588587 45.5051467),substation,Enel,Q651222,11031849,2001/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
1,POINT (12.3369855 45.4449225),substation,,,dg40-2-031560,,minor_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
2,POINT (12.3182023 45.4319262),substation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
3,"POLYGON ((12.2023319 45.4716009, 12.2035439 45.4715592, 12.2035355 45.4712382, 12.20352 45.4706518, 12.2034774 45.4690328, 12.2033057 45.4690456, 12.2031716 45.4689778, 12.2022774 45.4689783, 12.2023231 45.4702208, 12.2023535 45.4705433, 12.2023319 45.4716009))",substation,Terna S.p.A.,Q936325,,,transmission,Villabona TR,it:Terna (azienda),VVENVILV1_2;VVENVILVT2_2,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
4,"POLYGON ((12.3315169 45.4994902, 12.3315556 45.4994595, 12.3315925 45.4994824, 12.3315538 45.4995131, 12.3315169 45.4994902))",substation,,,,,minor_distribution,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
5,"POLYGON ((12.2477166 45.4296456, 12.2481742 45.4296363, 12.2481645 45.4293225, 12.2477048 45.4293341, 12.2477166 45.4296456))",substation,Enel Produzione,Q3725220,,,transmission,Fusina Termica sezione 1 400,,VVENFSNV11,380000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
6,"POLYGON ((12.245247 45.4296921, 12.246057 45.4296865, 12.246049 45.4291839, 12.2452336 45.4291858, 12.245247 45.4296921))",substation,Enel Produzione,Q3725220,,,transmission,Fusina Termica sezione 1 220,,VVENFSNV21,380000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
7,"POLYGON ((12.2375099 45.433238, 12.237626 45.4332388, 12.2376249 45.4333113, 12.2377866 45.4333125, 12.2377952 45.432746, 12.2375174 45.432744, 12.2375099 45.433238))",substation,Alcoa,,,,industrial,Alcoa Fusina,,VVENALCV,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
8,"POLYGON ((12.2471328 45.4283426, 12.2487583 45.4283125, 12.2487153 45.4271981, 12.2480716 45.4273035, 12.2480287 45.4273939, 12.2470255 45.4280941, 12.2471328 45.4283426))",substation,Enel Produzione,Q3725220,,,transmission,"Fusina Termica Sezione 2, 3, 4",,VVENFSNV42;VVENFSNV43;VVENFSNV44,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
9,"POLYGON ((12.2357284 45.4454465, 12.2357318 45.4454145, 12.2357194 45.4453836, 12.2356959 45.4453598, 12.2356631 45.4453422, 12.2356242 45.4453326, 12.2355829 45.445332, 12.2355434 45.4453403, 12.2355094 45.4453568, 12.2354844 45.4453798, 12.2354708 45.4454072, 12.2354699 45.4454361, 12.2354818 45.4454639, 12.2355085 45.4454899, 12.2355463 45.445508, 12.2355907 45.445516, 12.2356363 45.4455128, 12.2356776 45.4454988, 12.2357095 45.4454758, 12.2357284 45.4454465))",,,,,,,DP 407,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
10,"POLYGON ((12.23627 45.4456359, 12.2362836 45.4456085, 12.2362845 45.4455796, 12.2362726 45.4455519, 12.2362459 45.4455258, 12.2362081 45.4455077, 12.2361637 45.4454998, 12.2361181 45.445503, 12.2360769 45.4455169, 12.2360449 45.4455399, 12.2360261 45.4455692, 12.2360226 45.4456012, 12.236035 45.4456322, 12.2360585 45.445656, 12.2360914 45.4456735, 12.2361303 45.4456831, 12.2361716 45.4456837, 12.2362111 45.4456754, 12.236245 45.4456589, 12.23627 45.4456359))",,,,,,,DP 408,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
11,"POLYGON ((12.237539 45.4446981, 12.2375594 45.4446722, 12.2375671 45.4446431, 12.2375612 45.4446138, 12.2375423 45.4445874, 12.2375124 45.4445665, 12.2374746 45.4445534, 12.2374328 45.4445493, 12.2373913 45.4445548, 12.2373545 45.4445693, 12.2373261 45.4445912, 12.2373087 45.4446197, 12.2373058 45.4446506, 12.2373176 45.4446805, 12.237343 45.4447059, 12.2373789 45.4447239, 12.2374213 45.4447325, 12.2374654 45.4447308, 12.2375062 45.4447189, 12.237539 45.4446981))",,,,,,,DP 501,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
12,"POLYGON ((12.234658 45.4450811, 12.2346607 45.4450559, 12.234651 45.4450316, 12.2346325 45.4450129, 12.2346067 45.444999, 12.234576 45.4449915, 12.2345436 45.444991, 12.2345125 45.4449975, 12.2344858 45.4450105, 12.2344661 45.4450286, 12.2344554 45.4450501, 12.2344547 45.4450729, 12.234464 45.4450947, 12.234485 45.4451152, 12.2345148 45.4451295, 12.2345497 45.4451357, 12.2345855 45.4451332, 12.234618 45.4451222, 12.2346432 45.4451041, 12.234658 45.4450811))",,,,,,,DA 405,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
13,"POLYGON ((12.2378859 45.4450858, 12.2378975 45.4450544, 12.237894 45.445022, 12.2378759 45.4449922, 12.237845 45.444968, 12.2378047 45.4449522, 12.2377593 45.4449462, 12.2377135 45.4449509, 12.2376723 45.4449656, 12.2376401 45.4449889, 12.2376201 45.4450187, 12.237615 45.4450514, 12.2376256 45.4450836, 12.2376505 45.4451115, 12.237687 45.4451322, 12.2377312 45.4451433, 12.2377782 45.4451437, 12.2378228 45.4451333, 12.23786 45.4451133, 12.2378859 45.4450858))",,,,,,,DP 500,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
14,"POLYGON ((12.2350598 45.4452189, 12.2350705 45.4451974, 12.2350713 45.4451746, 12.2350619 45.4451528, 12.2350409 45.4451323, 12.2350112 45.4451181, 12.2349763 45.4451118, 12.2349404 45.4451143, 12.2349079 45.4451253, 12.2348828 45.4451434, 12.234868 45.4451664, 12.2348653 45.4451916, 12.234875 45.445216, 12.2348935 45.4452347, 12.2349193 45.4452485, 12.2349499 45.445256, 12.2349824 45.4452565, 12.2350135 45.44525, 12.2350401 45.445237, 12.2350598 45.4452189))",,,,,,,DA 406,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
15,"POLYGON ((12.2360383 45.445067, 12.236041 45.4450423, 12.2360315 45.4450185, 12.2360134 45.4450002, 12.2359881 45.4449867, 12.2359581 45.4449793, 12.2359264 45.4449788, 12.2358959 45.4449852, 12.2358698 45.4449979, 12.2358506 45.4450156, 12.2358401 45.4450367, 12.2358394 45.4450589, 12.2358485 45.4450803, 12.2358691 45.4451004, 12.2358982 45.4451143, 12.2359324 45.4451204, 12.2359674 45.4451179, 12.2359992 45.4451072, 12.2360238 45.4450895, 12.2360383 45.445067))",,,,,,,DP 502,,,,gasometer,gasometer,steel,Ministero dell'ambiente e della sicurezza energetica,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
16,"POLYGON ((12.2219639 45.4583595, 12.2223406 45.4577281, 12.2234342 45.4580684, 12.2232478 45.4583936, 12.2242879 45.4587044, 12.2239018 45.4593348, 12.2223723 45.458627, 12.2219639 45.4583595))",substation,Terna S.p.A.,Q936325,,,,Stazione 1A,it:Terna (azienda),,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
17,"POLYGON ((12.2270151 45.4592163, 12.227017 45.4589707, 12.2273572 45.4589701, 12.2273494 45.4592661, 12.2270437 45.4592709, 12.2270427 45.4592184, 12.2270151 45.4592163))",substation,Enel Distribuzione,Q3725215,,,distribution,Ca' Emiliani,,VVENCEMV,132000,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,
