DENOMINAZI,Type,geometry
ADRIAGEL ITALIA S.R.L.,Pasta&baked goods,POINT (785221.307 5050137.168)
Alla Vaccheria,Dairy,POINT (743822.039 5025639.743)
Apicoltura Api Piave,Fruits & Vegetables,POINT (784714.089 5062146.177)
Apicoltura G di ape,Fruits & Vegetables,POINT (744487.893 5030895.522)
APICOLTURA Miele e Pappa,Fruits & Vegetables,POINT (749757.439 5034191.694)
Apicoltura Montagner,Fruits & Vegetables,POINT (777918.377 5054787.241)
Az. Agr. Corradi,Fruits & Vegetables,POINT (756424.515 5051074.147)
Az.Agr. Vignaluna Di Lunardelli Giovanni,Winery,POINT (774896.152 5057993.511)
Azienda agricola Basso,Fruits & Vegetables,POINT (755741.97 5045390.061)
Azienda Agricola Biodinamica San Michele,Dairy,POINT (789257.904 5049422.528)
Azienda Agricola Castellana,Fruits & Vegetables,POINT (787226.059 5053246.579)
Azienda Agricola Gianni Dartora,Fruits & Vegetables,POINT (786289.374 5046981.026)
Azienda Agricola Mendoza,Winery,POINT (781231.525 5062548.539)
Azienda Agricola Orlando Claudio,Dairy,POINT (785528.215 5061621.464)
Azienda Agricola Tonus,Fruits & Vegetables,POINT (778146.251 5056864.278)
Azienda Agricola Valleri Stefano,Fruits & Vegetables,POINT (773095.368 5040347.401)
Azienda Agricola Vitivinicola Gallo Nicola,Winery,POINT (771406.968 5055133.802)
Blumen (S.A.S.) Di Signoretto Roberto E C,Dairy,POINT (756784.72 5048013.919)
Bonazza S.P.A.,Meat,POINT (761998.658 5045949.644)
Bugin Carni srl,Meat,POINT (740655.858 5032194.704)
C.O.F. Costantini Orto Frutta,Fruits & Vegetables,POINT (770259.755 5039188.64)
CAM-EVOLUTION SOCIETA' A RESPONSABILITA' LIMITATA,Seafood,POINT (757002.238 5012590.753)
Canella spa - Casa Vinicola,Winery,POINT (777349.736 5059427.836)
Cantina Di San Dona,Winery,POINT (779942.158 5060205.759)
Cantina Enoteca La Riviera Di Zillio Roberto,Winery,POINT (747363.366 5037481.026)
Cantina Levorato,Winery,POINT (741025.195 5034605.561)
Cantine Produttori Riuniti Del Veneto Orientale,Winery,POINT (784742.832 5050338.647)
Cantine Viticoltori,Winery,POINT (784864.527 5049972.787)
Cantine Viticoltori Veneto Orientale Societa' Agricola Cooperativa In,Winery,POINT (770559.813 5039205.504)
CASA VINICOLA CANELLA S.P.A.,Brewery,POINT (775857.846 5060189.044)
