,geometry,landuse,industrial,caravan:rental,name,shop,city,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,brand,brand:wikidata,description,operator,start_date,website,access,place,barrier,fence_type,waterway,note,man_made,material,depot,cargo:container,fixme,harbour,port:category,port:type,seamark:harbour:category,seamark:type,seaway,operator:wikidata,operator:wikipedia,plant:method,plant:output:electricity,plant:source,power,ref:EU:ENTSOE_EIC,wikidata,wikipedia,contact:phone,cargo,port,name:en,name:it,plant:type,phone,source,amenity,fee,residential,email,building,fax,ref:vatin,type,name:vi,compressed_air,fuel:cng,fuel:diesel,fuel:lpg,fuel:octane_95,opening_hours,self_service,wheelchair,fuel:GTL_diesel,fuel:octane_100,ref:mise,pipeline,substance,substation,area,brand:wikipedia,contact:city,contact:housenumber,contact:postcode,contact:street,direction,not:brand:wikidata,addr:hamlet,addr:province,addr:state,check_date:opening_hours,opening_hours:signed,fuel:adblue,contact:email,contact:facebook,trade,old_name
0,"POLYGON ((12.4538909 45.4644064, 12.4540699 45.4646604, 12.4546419 45.464579, 12.4551891 45.4652403, 12.4555915 45.4651763, 12.4551838 45.4642057, 12.454224 45.4643625, 12.4538909 45.4644064))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"POLYGON ((12.4503209 45.465023, 12.4512167 45.465956, 12.4521287 45.4655083, 12.4515064 45.4647521, 12.4503209 45.465023))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"POLYGON ((12.4590113 45.4673369, 12.458731 45.4666634, 12.45927 45.4665853, 12.4595263 45.4672038, 12.4590113 45.4673369))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"POLYGON ((12.4583508 45.4677618, 12.4587273 45.4677156, 12.4589672 45.4685571, 12.4585438 45.4686396, 12.4583508 45.4677618))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"POLYGON ((12.4599396 45.4675935, 12.4600683 45.468369, 12.4594613 45.4684647, 12.4591931 45.4676364, 12.459494 45.4675776, 12.4599396 45.4675935))",residential,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"POLYGON ((12.4222678 45.4448087, 12.4222018 45.4447432, 12.4220747 45.444615, 12.4219825 45.4445202, 12.4218729 45.4444088, 12.4217743 45.4443017, 12.4216726 45.4441991, 12.4215577 45.4440912, 12.4215116 45.444045, 12.4214671 45.4439987, 12.4214051 45.4439429, 12.4213614 45.4438983, 12.4213297 45.4438532, 12.4212907 45.4438131, 12.4212335 45.4437607, 12.4211747 45.4436965, 12.4211119 45.4436302, 12.4210523 45.4435744, 12.4209951 45.4435131, 12.4209474 45.44345, 12.4209252 45.4434289, 12.420903 45.4434128, 12.4208855 45.4433927, 12.420872 45.4433699, 12.4208672 45.4433464, 12.4208698 45.4433219, 12.4208799 45.4433018, 12.420903 45.4432825, 12.4209366 45.4432678, 12.4215334 45.4430059, 12.4215679 45.4430147, 12.4216401 45.4431753, 12.4219097 45.4437231, 12.4220132 45.4439035, 12.4221856 45.4442181, 12.4221793 45.4442467, 12.4222138 45.4442951, 12.4222534 45.4443029, 12.4225038 45.4447117, 12.4222678 45.4448087))",industrial,port,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"POLYGON ((12.4209366 45.4432678, 12.4205155 45.4428248, 12.4200812 45.4423702, 12.4200551 45.4423819, 12.4200227 45.4423838, 12.4199937 45.4423793, 12.4199691 45.4423658, 12.419773 45.4421651, 12.4196622 45.4420411, 12.4195503 45.4419249, 12.4195288 45.4419006, 12.4195138 45.4418745, 12.4195074 45.4418504, 12.4195068 45.4418221, 12.4195137 45.4417972, 12.4195275 45.4417735, 12.4195503 45.4417549, 12.4195712 45.441742, 12.4195998 45.44173, 12.4196319 45.4417234, 12.4196751 45.4417255, 12.4197143 45.4417337, 12.4197397 45.4417489, 12.4197677 45.4417655, 12.4197913 45.4417832, 12.4197989 45.4418048, 12.4198013 45.4418285, 12.4197989 45.4418508, 12.4197782 45.4418842, 12.4198103 45.4418884, 12.4198452 45.4418931, 12.419871 45.4419067, 12.4198925 45.4419173, 12.4199065 45.4419309, 12.419914 45.4419512, 12.4199298 45.4419783, 12.4199538 45.4420116, 12.4199773 45.4420374, 12.4200033 45.442063, 12.4200321 45.4420858, 12.4200701 45.4421105, 12.4201042 45.4421294, 12.4201519 45.4421498, 12.4202103 45.4421712, 12.4202562 45.4421838, 12.4203086 45.4421937, 12.4203616 45.4421976, 12.4204176 45.4421981, 12.4204598 45.4421977, 12.4205102 45.4421936, 12.4205663 45.4421847, 12.4206124 45.4421717, 12.4206501 45.4421578, 12.4206939 45.4421404, 12.4207351 45.4421219, 12.4207731 45.4421015, 12.4208093 45.4420743, 12.4208371 45.4420493, 12.4208631 45.4420237, 12.420885 45.4419978, 12.4209024 45.441967, 12.4209201 45.4419339, 12.4209333 45.4418996, 12.4209389 45.4418608, 12.4209395 45.4418236, 12.4209394 45.4417865, 12.4209298 45.4417519, 12.4209223 45.4417255, 12.4209053 45.4416949, 12.4208871 45.4416688, 12.4208674 45.4416402, 12.420838 45.4416092, 12.420808 45.4415831, 12.4207738 45.4415601, 12.4207474 45.4415409, 12.4207125 45.4415209, 12.4206974 45.4415014, 12.4206336 45.4414777, 12.4206185 45.4413164, 12.4206911 45.4413146, 12.4206413 45.4404192, 12.4206154 45.4399376, 12.4205895 45.4395629, 12.4205606 45.4391582, 12.4205479 45.4385531, 12.4200152 45.4385101, 12.4201435 45.4375897, 12.4203151 45.4376013, 12.4203604 45.437556, 12.4207864 45.437391, 12.4209748 45.4367401, 12.4210891 45.4363806, 12.4212203 45.4361707, 12.4216561 45.4352429, 12.4223377 45.4341586, 12.4230631 45.4331324, 12.4231178 45.4329918, 12.4230936 45.4328544, 12.4229729 45.4327226, 12.422732 45.4326012, 12.422607 45.4325737, 12.422362 45.4326006, 12.422123 45.4326959, 12.4220092 45.4327777, 12.4219014 45.4328553, 12.4217807 45.4328864, 12.4216492 45.4328685, 12.4215648 45.4328195, 12.4215366 45.4327518, 12.4215728 45.4326671, 12.4216573 45.432604, 12.4227869 45.4319159, 12.4247558 45.4307244, 12.425866 45.430232, 12.4260218 45.4303171, 12.4254468 45.4308505, 12.4246934 45.4315971, 12.4241449 45.4322139, 12.423788 45.4326267, 12.423722 45.4327009, 12.4232197 45.433313, 12.4227835 45.4339113, 12.422235 45.434797, 12.4218909 45.4353696, 12.4216871 45.4357832, 12.4215052 45.4361682, 12.4213359 45.4365929, 12.4212199 45.4369713, 12.42106 45.4375653, 12.4209691 45.4380053, 12.4209283 45.438265, 12.4208844 45.438628, 12.4208405 45.4390834, 12.4208248 45.4395894, 12.4208311 45.440003, 12.420853 45.440289, 12.4208844 45.4406124, 12.4209471 45.440993, 12.4210349 45.4414198, 12.420991 45.4414418, 12.4210098 45.441521, 12.4210506 45.4415232, 12.4212011 45.4420996, 12.4213422 45.4424846, 12.421524 45.4429113, 12.4215021 45.4429311, 12.4215334 45.4430059, 12.4209366 45.4432678))",industrial,port,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"POLYGON ((12.4199218 45.4375764, 12.4197933 45.4384986, 12.4195719 45.4384845, 12.4194331 45.4384952, 12.4193981 45.4384802, 12.4193676 45.4384759, 12.4189049 45.4384438, 12.4188654 45.4384405, 12.4188456 45.4384545, 12.4188349 45.4384887, 12.4188425 45.4385623, 12.4188228 45.4385804, 12.4188293 45.4387305, 12.4188594 45.4391397, 12.4188703 45.4392569, 12.4189089 45.4394538, 12.4189864 45.4398963, 12.4190043 45.4399702, 12.4191865 45.4405894, 12.419165 45.4405939, 12.4192245 45.4407792, 12.4192493 45.4407787, 12.4192703 45.440784, 12.4192943 45.4407976, 12.4193225 45.4408176, 12.4193409 45.4408336, 12.4193521 45.4408474, 12.4193564 45.4408629, 12.4193596 45.440878, 12.419358 45.4408958, 12.419355 45.4409107, 12.4193489 45.4409275, 12.4193403 45.4409411, 12.4193261 45.4409544, 12.4193091 45.4409652, 12.4192875 45.4409769, 12.4192657 45.4409859, 12.4192402 45.4409909, 12.4192138 45.4409932, 12.4191848 45.4409913, 12.4191576 45.4409865, 12.4191337 45.4409769, 12.4191137 45.4409657, 12.4190955 45.4409531, 12.419078 45.4409374, 12.4190612 45.4409152, 12.4190265 45.4408431, 12.4190011 45.4407721, 12.4189706 45.440669, 12.4189224 45.4405318, 12.4188732 45.4403956, 12.4188373 45.440289, 12.4187971 45.4401543, 12.4187634 45.4400125, 12.4187256 45.439839, 12.4187058 45.4397166, 12.4186842 45.439613, 12.4186571 45.4394582, 12.4186248 45.4392897, 12.4186084 45.4391549, 12.4185886 45.438978, 12.4185688 45.4388111, 12.4185693 45.438555, 12.4185697 45.4382811, 12.4185688 45.4380764, 12.4185855 45.4378552, 12.4186012 45.4376899, 12.4186428 45.4374167, 12.4186217 45.4373921, 12.4186578 45.4371259, 12.4185599 45.4370519, 12.4186135 45.4369215, 12.4190653 45.4358466, 12.4191353 45.4358569, 12.4192943 45.4358953, 12.4192719 45.4359568, 12.4190595 45.4364524, 12.4188376 45.4369936, 12.4196926 45.4375127, 12.4197301 45.4375635, 12.4199218 45.4375764))",industrial,port,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"POLYGON ((12.4746222 45.4568907, 12.4747513 45.4565695, 12.4735471 45.4563313, 12.4733989 45.456302, 12.4732698 45.4566232, 12.4746222 45.4568907))",commercial,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"POLYGON ((12.5641859 45.4795406, 12.5651407 45.4796196, 12.5651327 45.4804405, 12.5641939 45.4804254, 12.5641859 45.4795406))",commercial,,yes,Bozzato Tourist Services sas,caravan,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
