,geometry,addr:housenumber,addr:street,name,office,addr:city,addr:place,addr:postcode,air_transport,contact:mobile,ground_transport,operator,ref:vatin,ship_transport,takeaway,building,building:use,brand,brand:wikidata,shop,historic,ruins,building:levels,layer,roof:shape,cargo:container,fixme,harbour,industrial,landuse,port:category,port:type,seamark:harbour:category,seamark:type,seaway,website,description,cargo,port,type,name:en,name:vi,wikidata,wikipedia,city
0,POINT (12.2105535 45.4462076),22,Via Malcontenta,GLS - Venezia - V5,logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy"
1,POINT (12.3206584 45.430846),1512,,Trasporti Manfrin G. s.n.c.,logistics,Venezia,Dorsoduro,30123,no,+39 335 5708898,no,Scaggiante Flavio & C.,IT02044900278,yes,undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy"
2,"MULTIPOLYGON (((12.3149989 45.441866, 12.3150799 45.4418635, 12.3150989 45.4418629, 12.3151207 45.4418623, 12.3154086 45.4418426, 12.3155264 45.4418345, 12.3156279 45.4417683, 12.3157657 45.4416557, 12.3157854 45.4416397, 12.3160862 45.4414837, 12.3161988 45.4414837, 12.316351 45.4414197, 12.3164718 45.4413689, 12.3164819 45.4413647, 12.3165659 45.4412983, 12.3168132 45.4411025, 12.3169339 45.4410092, 12.3168371 45.4409593, 12.3168769 45.4409226, 12.3168805 45.4409241, 12.3170275 45.4407968, 12.3172373 45.4406015, 12.3172521 45.4405861, 12.3172581 45.4405799, 12.3173191 45.4405157, 12.3174537 45.4403746, 12.3175116 45.4403073, 12.3175806 45.4403354, 12.3176948 45.440206, 12.3176294 45.440175, 12.3176845 45.4401114, 12.3175442 45.4400239, 12.3173709 45.4399493, 12.3170631 45.4398332, 12.3170276 45.4398212, 12.3168082 45.4397307, 12.3165569 45.439598, 12.3164129 45.4395251, 12.3164441 45.4394993, 12.3162904 45.4393927, 12.3161988 45.4394557, 12.3161151 45.4394019, 12.3161971 45.4393289, 12.3160927 45.4392442, 12.3160008 45.4393027, 12.3156936 45.4389793, 12.3155639 45.4388483, 12.3155447 45.4388296, 12.3155237 45.4388091, 12.3154013 45.4387482, 12.3152501 45.4386893, 12.3150474 45.4385243, 12.3150386 45.4384653, 12.3150668 45.4384438, 12.3150451 45.4383969, 12.3149747 45.4383607, 12.3148794 45.4383615, 12.3148275 45.4383341, 12.3147842 45.4382418, 12.3147821 45.4381943, 12.3147727 45.4381859, 12.31464 45.4380641, 12.3145006 45.4379396, 12.3144279 45.4379826, 12.3143939 45.437974, 12.3108045 45.4337922, 12.3091786 45.4318833, 12.308023 45.432361, 12.3121875 45.4372051, 12.3119585 45.4373019, 12.3122934 45.437689, 12.312668 45.4381221, 12.3126984 45.4381572, 12.3115252 45.4386414, 12.3110583 45.4388341, 12.3062841 45.4332268, 12.3040473 45.434177, 12.3038696 45.4339697, 12.3034207 45.434159, 12.3033529 45.4343514, 12.3037666 45.4348257, 12.3040544 45.4346995, 12.3089596 45.440439, 12.3093397 45.4408785, 12.312013 45.4410942, 12.3122398 45.4411125, 12.3141171 45.441274, 12.314795 45.4418546, 12.3149989 45.441866)), ((12.3124651 45.4418879, 12.3124554 45.4417557, 12.3120481 45.4417227, 12.3118268 45.4417047, 12.3098468 45.4415441, 12.3095035 45.4415163, 12.3095216 45.4414246, 12.309019 45.4413803, 12.3089941 45.4416087, 12.3086896 45.4417466, 12.3085237 45.4418217, 12.3084847 45.4418356, 12.3084223 45.4418428, 12.3083072 45.4418394, 12.3074899 45.4417984, 12.3074297 45.4417939, 12.3073847 45.4417873, 12.3073625 45.4417775, 12.3073402 45.4417651, 12.307319 45.4417505, 12.3061528 45.4403861, 12.3061154 45.4403424, 12.3060918 45.4403148, 12.3051615 45.4392264, 12.3046262 45.4385884, 12.3044723 45.438405, 12.304332 45.4382377, 12.3042762 45.43826, 12.3042898 45.4382764, 12.3038239 45.4384681, 12.3037672 45.4384918, 12.3035544 45.4385772, 12.3035251 45.4385891, 12.3033871 45.438645, 12.3033684 45.4386526, 12.3032395 45.4387048, 12.3032171 45.4387138, 12.3032006 45.438722, 12.3030785 45.4387695, 12.3030507 45.4387806, 12.3029271 45.4388308, 12.3028777 45.4388508, 12.3027915 45.4388858, 12.3027451 45.4389047, 12.3025731 45.4386883, 12.3021615 45.4388455, 12.3023491 45.4390668, 12.3022634 45.4391002, 12.3022509 45.4391053, 12.302236 45.4391113, 12.3021081 45.4391631, 12.3020959 45.439168, 12.3020766 45.4391759, 12.3020163 45.4392003, 12.30204 45.4392285, 12.3020473 45.4392401, 12.3020623 45.439258, 12.3022052 45.4394287, 12.3022191 45.4394451, 12.3023648 45.4396156, 12.3023782 45.439632, 12.3025161 45.4398008, 12.3025312 45.4398189, 12.3026735 45.4399892, 12.3026861 45.440005, 12.3028228 45.4401715, 12.3028386 45.4401895, 12.3029832 45.4403672, 12.3029978 45.440387, 12.3030658 45.4404619, 12.3030895 45.4404792, 12.3030997 45.4404913, 12.3031216 45.4405175, 12.3036852 45.441189, 12.3042715 45.4418875, 12.3047449 45.4424517, 12.3057712 45.4437465, 12.3057882 45.4437591, 12.3058044 45.4437635, 12.3058263 45.4437696, 12.3070712 45.4438596, 12.3078342 45.4439148, 12.3088597 45.443485, 12.3088984 45.4435281, 12.3089056 45.443525, 12.3089366 45.4435117, 12.3090461 45.4434645, 12.3090755 45.4434518, 12.3090853 45.4434476, 12.3090643 45.4434218, 12.3091151 45.4434019, 12.3090989 45.4433817, 12.3095997 45.4431662, 12.3096204 45.4431573, 12.3097809 45.4430871, 12.3103546 45.4428656, 12.3113786 45.4424246, 12.3113676 45.4424067, 12.3124684 45.4419319, 12.3124651 45.4418879)))",,,Porto di Venezia,,,,,,,,,,,,,,,,,,,,,,,,,port,industrial,,,,,,,,,,multipolygon,Port of Venice,Cảng Venice,Q610148,it:Porto di Venezia,"Venezia, Veneto, Italy"
3,"POLYGON ((12.2823618 45.4668684, 12.2828723 45.4666353, 12.2827998 45.4665648, 12.2822916 45.4667911, 12.2823618 45.4668684))",,,Circolo della Vela Mestre,,,,,,,,,,,,warehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy"
4,"POLYGON ((12.2265404 45.4612467, 12.2268466 45.4612413, 12.2268364 45.460952, 12.2265301 45.4609574, 12.2265404 45.4612467))",21,Via dell'Elettricità,Centro Intermodale Adriatico,,Marghera,,30175,,,,,,,,warehouse,industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy"
5,"POLYGON ((12.2111355 45.4547727, 12.2109827 45.4540153, 12.2095827 45.4541542, 12.2097355 45.4549116, 12.2111355 45.4547727))",,,METRO,,,,,,,,,,,,yes,,METRO,Q13610282,wholesale,,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy"
6,"POLYGON ((12.3862095 45.4572553, 12.3857189 45.4570733, 12.3855135 45.4569971, 12.3854843 45.4570362, 12.3854668 45.4570595, 12.3861627 45.4573175, 12.3862095 45.4572553))",,,,,,,,,,,,,,,warehouse,,,,,building,,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy"
7,"POLYGON ((12.3862918 45.4569063, 12.3857693 45.4567154, 12.3857559 45.4567087, 12.3856678 45.4566763, 12.3851024 45.4564718, 12.3850423 45.4565523, 12.384977 45.4566417, 12.385889 45.4569749, 12.3861665 45.4570763, 12.3862918 45.4569063))",,,Tezon Grande,,,,,,,,,,,,warehouse,,,,,building,no,,,,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy"
8,"POLYGON ((12.3857559 45.4567087, 12.3858319 45.4566067, 12.3857832 45.4565888, 12.3857438 45.4565744, 12.3856678 45.4566763, 12.3857559 45.4567087))",,,,,,,,,,,,,,,warehouse,,,,,building,,1,1,gabled,,,,,,,,,,,,,,,,,,,,"Venezia, Veneto, Italy"
9,"POLYGON ((12.2530147 45.458791, 12.2522757 45.4577142, 12.2520239 45.4579034, 12.2519451 45.4579437, 12.2509273 45.4583914, 12.2502589 45.4574709, 12.25393 45.4560279, 12.2533743 45.4553202, 12.2563694 45.4541347, 12.257529 45.4550373, 12.2575209 45.4570136, 12.2530147 45.458791))",,,Terminal Intermodale Venezia,,,,,,,,,,,,,,,,,,,,,,yes,how is this a harbour? It is land.,yes,port,industrial,container,seaport,container,harbour,cargo_port,https://www.tiv.it/,,,,,,,,,"Venezia, Veneto, Italy"
