,geometry,name,opening_hours,shop,wheelchair,check_date,addr:city,addr:housenumber,addr:postcode,addr:street,operator,payment:cash,payment:credit_cards,payment:debit_cards,addr:country,source,toilets:wheelchair,brand,contact:facebook,contact:phone,contact:website,brand:wikidata,changing_table,toilets,building,website,amenity,cuisine,access,addr:place,addr:province,contact:email,dog,fee,internet_access,internet_access:fee,motorhome,organic,power_supply,power_supply:maxcurrent,reservation,sanitary_dump_station,socket:cee_blue,tents,tourism,brand:wikipedia,city,description,phone,email,check_date:opening_hours,payment:mastercard,payment:visa,branch,name:it,operator:wikidata,operator:wikipedia,alt_name,ref,ref:vatin,level,kids_area,toilets:access,toilets:number,smoking,ele,atm,air_conditioning,diet:halal,diet:kosher,name:signed,currency:EUR,addr:suburb,brand:en,brand:ja,name:en,name:ja,delivery:description:it,wikimedia_commons,contact:instagram,name:es,noname,entrance,opening_hours:signed,payment:cards,facebook,payment:coins,payment:bancomat,clothes,self_service,contact:mobile,addr:state,building:levels,old_name,fixme,start_date,note,roof:levels,roof:shape,building:material,addr:unit,stroller,not:brand:wikidata,fax,addr:hamlet,payment:diners_club,payment:maestro,payment:v_pay,payment:visa_electron,drive_through,building:part,indoor_seating,outdoor_seating,building:use,contact:fax,building:colour,diet:gluten_free,diet:non-vegetarian,diet:vegan,diet:vegetarian,roof:colour,type,roof:material,survey:date,fuel:GTL_diesel,fuel:diesel,fuel:octane_100,fuel:octane_95,ref:mise
0,POINT (12.4393959 45.4373689),Spar,Mo-Su 07:30-20:30,supermarket,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,POINT (12.4374332 45.4375308),Puntagialla,,supermarket,yes,2024-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,POINT (12.4395022 45.4376661),,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,POINT (12.4405499 45.4363748),,,convenience,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,POINT (12.4408824 45.436581),,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,POINT (12.563545 45.4784269),Supermercato DESPAR GARDEN,"Mo-Su,PH 08:00-13:00,16:00-19:00",supermarket,,,Cavallino-Treporti,55,30013,Via Francesco Baracca,Garden Paradiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,POINT (12.5491964 45.4783624),Ali,,supermarket,,2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,POINT (12.49143 45.4533069),,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,POINT (12.4618887 45.4466833),Market - Camping Ca`Savio,"PH,Mo-Su 07:30-21:30",supermarket,yes,2024-05-20,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,POINT (12.4569154 45.4558106),Puntagialla,,supermarket,,2024-05-21,Cavallino-Treporti,32a,,Via Treportina,,,,,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,POINT (12.5338698 45.46698),Italy Market,,supermarket,,2023-08-19,,,,,Italy Camping Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,POINT (12.5011759 45.45585),Market,"PH,Mo-Su 07:30-19:30",supermarket,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,POINT (12.4958633 45.4562038),Supermarket,,convenience,yes,,,,,,,,,,,local_knowledge,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,POINT (12.5304886 45.4660247),Tourist Market,"Mo-Su 07:30-12:30, 16:00-20:00",supermarket,yes,2023-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,POINT (12.5737148 45.4787649),,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,POINT (12.5735231 45.4809016),Despar,,supermarket,,,,,,,,,,,,,,Spar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,POINT (12.5723385 45.4802314),Gran Bazar,,department_store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,POINT (12.5720709 45.4800598),Supermarket,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,POINT (12.5793426 45.4796776),Mini Market,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,POINT (12.4819337 45.4541422),DESpar,"Mo-Su,PH 07:30-13:00,16:00-20:00",supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,POINT (12.541346 45.4806432),Junior Farm,,farm,,,,,,,,,,,,,,,https://m.facebook.com/juniorfarmagriturismo/,+39 335 782 1536,https://www.junior-family.it/it/junior-farm/,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,POINT (12.4583413 45.4529696),Crai,"Mo-Sa 07:30-13:00,16:30-20:00; Su 07:30-13:00",supermarket,,,,,,,Bergamo S.a.s,,,,,,,Crai,,,,Q3696429,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,POINT (12.4891001 45.4544181),,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,POINT (12.5067746 45.4570877),,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
