,geometry,name,shop,check_date,opening_hours,wheelchair,name:de,name:it,alt_name,addr:housenumber,addr:street,phone,cafe,outdoor_seating,level,amenity,building,city,addr:postcode,email,addr:place,noname,addr:city,facebook,website,name:en,delivery:description:it,addr:country,cuisine,source,contact:mobile,organic,payment:credit_cards,payment:debit_cards,operator,ref:vatin,contact:phone,description,diet:kosher,diet:vegan,payment:online,payment:mastercard,payment:visa,start_date,check_date:opening_hours,fixme,delivery,payment:bancomat,payment:cash,payment:coins,addr:unit,payment,toilets,payment:maestro,contact:facebook,payment:pos,indoor_seating,smoking,opening_hours:signed,contact:instagram,air_conditioning,craft,fax,phone:delivery,payment:cards,contact:whatsapp,opening_hours:phone,payment:online_payment,communication:mobile_phone,phone:mobile,kids_area,contact:website,internet_access,second_hand,addr:state,branch,brand,butcher,diet:halal,addr:province,takeaway,contact:email,bar,payment:bancoposta,payment:postepay,mobile,building:levels,roof:levels,wheelchair:description,addr:interpolation,internet_access:fee,addr:hamlet,contact:twitter,contact:fax,roof:shape,layer,survey:date
0,POINT (12.4890699 45.4552724),Metzgerei Roberto,butcher,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,POINT (12.5265841 45.4646992),Bottega del Pane,bakery,2023-08-20,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,POINT (12.5305338 45.465604),Frutta & Verdura,greengrocer,2023-08-20,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,POINT (12.571968 45.4800134),Macelleria,butcher,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,POINT (12.4403059 45.4366628),,greengrocer,,Mo-Su 08:00-20:00,yes,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,POINT (12.4600825 45.4495621),,greengrocer,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,POINT (12.4569791 45.4571197),Pescheria al Ponte,seafood,,Mo-Su 08:00-13:00,,Fischmarkt,Pescheria al Ponte,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,POINT (12.4574674 45.4540302),Panificio Zanella,bakery,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,POINT (12.4593265 45.4537569),,wine,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,POINT (12.4565005 45.4531957),COF,greengrocer,,,,,,Costatini Orto Frutta,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,POINT (12.4580294 45.4529464),Ballarin,pastry,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,POINT (12.4583892 45.4523769),Ballarin,butcher,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,POINT (12.4589574 45.4519786),Macelleria Cimarosto Alessandro,butcher,2024-05-24,,,,,,41,Via di Ca' Savio,+39 041 966413,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,POINT (12.4560647 45.4563914),Pasticceria Zanello,pastry,,,,,,,,,,yes,yes,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,POINT (12.4581568 45.4533462),Pescheria Rossi,seafood,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,POINT (12.4540979 45.4549229),Panificio Spanio,bakery,,Mo-Sa 07:00-13:00,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,POINT (12.5522315 45.4833052),Pasticceria Ciaramella,pastry,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,POINT (12.4586342 45.4537023),Cantinetta le Rughe,alcohol,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,POINT (12.5502395 45.4836434),Il Fornaio,bakery,,,yes,,,,,,,,,0,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,POINT (12.4716337 45.4530022),Pasticceria ZANELLA BRUNO,pastry,2024-05-26,,yes,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,POINT (12.4894573 45.454686),,greengrocer,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,POINT (12.4605287 45.4537734),,wine,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,POINT (12.5493987 45.4789134),Il Fornaio,bakery,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,POINT (12.440546 45.4422384),,greengrocer,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,POINT (12.4804339 45.4584026),,butcher,,,,,,,,,,,,,,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,POINT (12.4588958 45.4512187),De Marchi,pastry,,,,,,,,,,,,,cafe,,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"POLYGON ((12.4559349 45.448028, 12.4559463 45.4479814, 12.4560078 45.4479889, 12.4559964 45.4480354, 12.4559349 45.448028))",,greengrocer,,,,,,,,,,,,,,yes,"Cavallino-Treporti, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,POINT (12.1987297 45.4872845),,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,POINT (12.1977077 45.4851569),Cantina le 2 botti,beverages,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,POINT (12.1909177 45.4845537),,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,POINT (12.1893771 45.4844406),Clarin,confectionery,,Mo 07:30-19:30; Tu-Th 07:30-18:00; Fr 07:30-19:30; Sa off; Su 08:00-12:30,,,,,,,+39 041 5442945,,,,cafe,,"Venezia, Veneto, Italy",30121-30176,info@clarin.ve.it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,POINT (12.2402966 45.4851506),Gaspari,confectionery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,POINT (12.242765 45.4914768),Gorghetto,bakery,,,no,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,POINT (12.238491 45.5271797),,butcher,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,POINT (12.3263687 45.4437493),,butcher,,"Mo-Th 07:00-13:30; Fr,Sa 07:00-13:30,16:00-19:30",yes,,,,1331,,,,,,,,"Venezia, Veneto, Italy",30121,,Cannaregio,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,POINT (12.3293319 45.4441906),,bakery,,,,,,,1892a,,,,,,,,"Venezia, Veneto, Italy",30121,,Cannaregio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,POINT (12.2830589 45.5112979),,greengrocer,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,POINT (12.2830981 45.5114596),,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,POINT (12.3378653 45.439682),Crosera,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,POINT (12.3383897 45.4398711),,greengrocer,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,POINT (12.3389314 45.4373882),La Bottega del Tartufo,greengrocer,,,,,,,5674,,,,,,,,"Venezia, Veneto, Italy",30122,,Castello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,POINT (12.3434196 45.4359525),Wine Bar 5000,wine,,,,,,,5000,,,,,,,,"Venezia, Veneto, Italy",30122,,Castello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,POINT (12.3250595 45.4360424),Estro - Vino e Cucina,wine,,"We-Mo,PH 12:00-23:00",,,Estro - Vino e Cucina,,3778,Calle San Pantalon,+39 041 476 4914,,,,restaurant,,"Venezia, Veneto, Italy",30123,estro.enoteca@gmail.com,,,Venezia,https://it-it.facebook.com/estrovinoecucina/,http://www.estrovenezia.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,POINT (12.3251791 45.4359205),pasticceria Tonolo,pastry,,Tu-Sa 07:30-19:00; Su 07:30-13:00,yes,,,,3764,Calle San Pantalon,,,,,,,"Venezia, Veneto, Italy",30123,,,,,,https://www.pasticceria-tonolo-venezia.business.site/,Tonolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,POINT (12.3349922 45.4390052),Aliani Casa del Parmigiano,cheese,,"Mo-We 08:00-13:30 || Th-Sa 08:00-19:30 || Su,PH off",,,,,214,Campo Cesare Battisti,+39 041 520 6525,,,,,,"Venezia, Veneto, Italy",30125,info@aliani-casadelparmigiano.it,San Polo,,Venezia,Casa del Parmigiano Venezia,https://www.casadelparmigiano.ve.it/,,Attivazione servizio a domicilio di generi di prima necessità per COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,POINT (12.333721 45.4413588),Rizzo,bakery,2024-03-14,,no,,,,3832a,,,,,,,,"Venezia, Veneto, Italy",30121,,Cannaregio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,POINT (12.2145652 45.4991365),Panificio al Fortino,bakery,,,,,,,,Via Brendole,,,,,,,"Venezia, Veneto, Italy",30174,,Mestre,,Venezia,,,,,IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,POINT (12.3296256 45.4454924),,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,POINT (12.3249677 45.4407392),Panini Lampo,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,sandwich,local_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,POINT (12.3150518 45.3167604),,butcher,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,POINT (12.3382271 45.4254938),Panetteria,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",30133,,Giudecca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,POINT (12.329224 45.4440691),,greengrocer,,,,,,,1899,,,,,,,,"Venezia, Veneto, Italy",30121,,Cannaregio,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,POINT (12.3279204 45.44046),Enoteca Al Prosecco,wine,,Mo-Fr 10:00-20:00; Sa 10:00-17:00,,,,,1503,,+39 041 5240222,,,,,,"Venezia, Veneto, Italy",30135,,Santa Croce,,,,https://www.alprosecco.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,POINT (12.3184581 45.4372937),Enoteca Busodurello,wine,,,,,,,466d,Rio Terà Sant'Andrea,,,,,,,"Venezia, Veneto, Italy",30135,,Santa Croce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,POINT (12.320465 45.4372863),Macuva,greengrocer,,,,,,,270f,,+39 041 5242743,,,,,,"Venezia, Veneto, Italy",30135,,Santa Croce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,POINT (12.3259224 45.4449084),Majer Venezia,bakery,,"Mo-Sa 07:00-22:00, Su 08:00-22:00",,,,,,,,,yes,,,,"Venezia, Veneto, Italy",,,,,,,https://www.majer.it/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,POINT (12.3289598 45.4389065),Majer Venezia,bakery,2023-07-23,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,https://www.majer.it/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,POINT (12.3238748 45.4349575),Panificio Barozzi Gianfranco,bakery,,,,,,,3662,Campo Santa Margherita,,,,,,,"Venezia, Veneto, Italy",30123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,POINT (12.325906 45.4437263),Pasticceria Martini,confectionery,,,limited,,,,1302,,,,,,,,"Venezia, Veneto, Italy",30121,,Cannaregio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,POINT (12.3247998 45.4442277),Casa Mattiazzi,wine,,Mo-Sa 09:00-19:30; We 09:00-13:00,,,,,1116,,,,,,,,"Venezia, Veneto, Italy",30121,,Cannaregio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,POINT (12.3254771 45.4439),,greengrocer,,,,,,,1292,,,,,,,,"Venezia, Veneto, Italy",30121,,Cannaregio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,POINT (12.3011833 45.2803117),Panificio Pasticceria Passarella,bakery,,,,,,,,,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,POINT (12.2390806 45.4879088),Pasticceria Rosa Salva,pastry,,Mo-Sa 08:00-20:00,,,,,17,Via Cappuccina,+39 041 988400,,,,,,"Venezia, Veneto, Italy",30172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,POINT (12.2538292 45.5009925),,greengrocer,,,,,,,2c,Via Motta,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,POINT (12.2467196 45.4885585),Laboratorio Pasticceria,pastry,,,,,,,34,Via Andrea Costa,,,,,,,"Venezia, Veneto, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,POINT (12.3613393 45.4268921),il Fruttolo,greengrocer,,"Mo-Tu,Th-Sa 07:00-13:00,17:00-19:00; We 07:00-13:00; Su closed; PH closed",limited,,,,8,Calle Franco Passarella,,,,0,,,"Venezia, Veneto, Italy",,,,,Venezia,,,,,,,,+39347 603 2087,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
