DENOMINAZI,Type,geometry
ADRIAGEL ITALIA S.R.L.,Pasta&baked goods,POINT (785221.307 5050137.168)
Alla Vaccheria,Dairy,POINT (743822.039 5025639.743)
Apicoltura Api Piave,Fruits & Vegetables,POINT (784714.089 5062146.177)
Apicoltura G di ape,Fruits & Vegetables,POINT (744487.893 5030895.522)
APICOLTURA Miele e Pappa,Fruits & Vegetables,POINT (749757.439 5034191.694)
Apicoltura Montagner,Fruits & Vegetables,POINT (777918.377 5054787.241)
Az. Agr. Corradi,Fruits & Vegetables,POINT (756424.515 5051074.147)
Az.Agr. Vignaluna Di Lunardelli Giovanni,Winery,POINT (774896.152 5057993.511)
Azienda agricola Basso,Fruits & Vegetables,POINT (755741.97 5045390.061)
Azienda Agricola Biodinamica San Michele,Dairy,POINT (789257.904 5049422.528)
Azienda Agricola Castellana,Fruits & Vegetables,POINT (787226.059 5053246.579)
Azienda Agricola Gianni Dartora,Fruits & Vegetables,POINT (786289.374 5046981.026)
Azienda Agricola Mendoza,Winery,POINT (781231.525 5062548.539)
Azienda Agricola Tonus,Fruits & Vegetables,POINT (778146.251 5056864.278)
Azienda Agricola Valleri Stefano,Fruits & Vegetables,POINT (773095.368 5040347.401)
Azienda Agricola Vitivinicola Gallo Nicola,Winery,POINT (771406.968 5055133.802)
Blumen (S.A.S.) Di Signoretto Roberto E C,Dairy,POINT (756784.72 5048013.919)
Bonazza S.P.A.,Meat,POINT (761998.658 5045949.644)
C.O.F. Costantini Orto Frutta,Fruits & Vegetables,POINT (770259.755 5039188.64)
CAM-EVOLUTION SOCIETA' A RESPONSABILITA' LIMITATA,Seafood,POINT (757002.238 5012590.753)
Canella spa - Casa Vinicola,Winery,POINT (777349.736 5059427.836)
Cantina Di San Dona,Winery,POINT (779942.158 5060205.759)
Cantina Enoteca La Riviera Di Zillio Roberto,Winery,POINT (747363.366 5037481.026)
Cantina Levorato,Winery,POINT (741025.195 5034605.561)
Cantine Produttori Riuniti Del Veneto Orientale,Winery,POINT (784742.832 5050338.647)
Cantine Viticoltori,Winery,POINT (784864.527 5049972.787)
Cantine Viticoltori Veneto Orientale Societa' Agricola Cooperativa In,Winery,POINT (770559.813 5039205.504)
CASA VINICOLA CANELLA S.P.A.,Brewery,POINT (775857.846 5060189.044)
Cioccolateria Veneziana,Pasta&baked goods,POINT (779162.35 5055737.305)
Cooperativa Agricola Produttori Ortofrutticoli Srl,Winery,POINT (757438.079 5008621.684)
Cooperativa Agricola Saccagna S.C.A.R,Winery,POINT (771573.126 5039724.197)
Corti Veneziane - beer,Brewery,POINT (739784.142 5036591.948)
DA. GI. MAR. S.R.L.,Seafood,POINT (757776.039 5012561.414)
DESPA.MAR. S.R.L.,Seafood,POINT (757383.504 5007588.98)
Erma S.r.l.,Seafood,POINT (746199.745 5033432.136)
Il Giogo Farm,Dairy,POINT (782417.553 5049290.5)
"Iperdrink, Birroteca and wine",Winery,POINT (747290.708 5038830.168)
LA DOLCIARIA MESTRINA DAL 1973 S.R.L.,Pasta&baked goods,POINT (753087.168 5042347.126)
Latteria Di Soligo -Caposile,Dairy,POINT (777444.174 5053281.834)
LESCACHEPESCA S.R.L.,Seafood,POINT (749604.234 5042809.56)
L'INSALATA DELL'ORTO S.R.L.,Fruits & Vegetables,POINT (746697.147 5031665.955)
Macedonia dell'Orto,Fruits & Vegetables,POINT (782600.064 5044940.023)
Microbirrificio Blond Brothers,Brewery,POINT (780277.594 5058456.637)
Miele del Doge,Fruits & Vegetables,POINT (770361.128 5040818.576)
Miele di Sant'Erasmo di Mavaracchio Elio,Fruits & Vegetables,POINT (766405.516 5038795.463)
Miglio Rosso,Winery,POINT (785951.361 5052389.362)
nido d'ape,Fruits & Vegetables,POINT (743371.028 5033712.235)
NUOVA FLORIDA 2 S.R.L.,Pasta&baked goods,POINT (782982.553 5045534.42)
Olearia Adriatica,Fruits & Vegetables,POINT (780500.316 5059117.862)
Ortobombo,Fruits & Vegetables,POINT (761714.103 5039616.978)
PANIFICIO MOLIN ZAN S. S.R.L.,Pasta&baked goods,POINT (752858.71 5042194.99)
Persico Vini,Winery,POINT (775426.404 5058102.152)
Poderi Ducali Ruffino,Winery,POINT (780018.141 5063994.876)
Margherita S.p.A. - Stabilimento M4,Pasta&baked goods,POINT (777619.695 5064102.009)
Sutto Wine,Winery,POINT (779575.385 5050948.427)
The Wine Selector Sabbadin Brothers SRL,Winery,POINT (748356.725 5037521.438)
UNIONFRIGO S.R.L.,Seafood,POINT (757593.816 5009803.716)
Vi.V.O. Cantine - Società agricola cooperativa - Punto vendita di Chioggia,Winery,POINT (757376.411 5010841.753)
Az. Agricola Vigne Salse,Winery,POINT (780674.25 5050117.981)
Grandi Molini Italiani SpA,Pasta&baked goods,POINT (745229.689 5040508.326)
